id,prompt,mapping_type,note
55,A fruit salad sits on a picnic bench.,replace,replace: fruit salad (model_score=-0.003125)
56,A candle rests on a yoga mat.,replace,replace: candle (model_score=-0.002852)
57,A snack lies beside a skate helmet.,replace,replace: snack (model_score=-0.000561)
58,A cup sits beside a chef hat.,replace,replace: cup (model_score=-0.003447)
59,A candle sits next to a record player.,replace,replace: candle (model_score=-0.000721)
60,A card lies on a calendar page.,replace,replace: card (model_score=-0.003463)
61,A lemon rests on a doorstep.,replace,replace: lemon (model_score=-0.003115)
62,A mug sits beside a stack of plates.,replace,replace: mug (model_score=-0.001865)
63,A carrot lies on a cutting mat.,replace,replace: carrot (model_score=-0.002027)
64,A flower sits near a garden hose.,replace,replace: flower (model_score=-0.001469)
65,A candle rests on a windowsill at night.,replace,replace: candle (model_score=-0.001198)
66,A thing sits under a streetlight at night.,replace,replace: thing (model_score=-0.002550)
67,A fruit bowl rests on a picnic basket lid.,replace,replace: fruit bowl (model_score=-0.002050)
68,A coin sits in a child's hand.,replace,replace: coin (model_score=-0.001130)
69,A candle rests on a dark countertop.,replace,replace: candle (model_score=-0.000688)
70,A fruit sits in a mesh produce bag.,replace,replace: fruit (model_score=-0.000638)
71,A banana rests on a rocking chair.,replace,replace: banana (model_score=-0.001035)
72,A clock lies on a museum bench.,replace,replace: clock (model_score=-0.003185)
73,An object rests on a postage scale.,replace,replace: object (model_score=-0.004998)
74,An item sits on a cafeteria tray.,replace,replace: item (model_score=-0.003146)
75,A toy rests under an open umbrella.,replace,replace: toy (model_score=-0.003358)
76,A flower sits on a straw hat.,replace,replace: flower (model_score=-0.002600)
77,A brush rests beside a paint palette.,replace,replace: brush (model_score=-0.002776)
78,A pawn lies on a chessboard square.,replace,replace: pawn (model_score=-0.002313)
79,An object rests on a spiral notebook.,replace,replace: object (model_score=-0.004550)
80,A leaf sits atop a tree stump.,replace,replace: leaf (model_score=-0.004409)
81,A carrot rests in a refrigerator drawer.,replace,replace: carrot (model_score=-0.001790)
82,A banana sits by a window fan.,replace,replace: banana (model_score=-0.002751)
83,A peach rests on a breakfast tray.,replace,replace: peach (model_score=-0.003007)
84,A toy sits on a checkered tablecloth.,replace,replace: toy (model_score=-0.002366)
85,A fruit rests in a grocery cart.,replace,replace: fruit (model_score=-0.000744)
86,A strawberry sits on a weighing scale.,replace,replace: strawberry (model_score=-0.003144)
87,A banana rests on a folding chair.,replace,replace: banana (model_score=-0.001658)
88,A coconut lies on a pebble beach.,replace,replace: coconut (model_score=-0.004336)
89,A banana sits near a dog bowl.,replace,replace: banana (model_score=-0.002261)
90,A peach rests in a ceramic bowl.,replace,replace: peach (model_score=-0.001905)
91,A flower sits on a cafe counter.,replace,replace: flower (model_score=-0.002339)
92,A snack rests on a mailbox.,replace,replace: snack (model_score=-0.002599)
93,A toy lies near a bicycle tire.,replace,replace: toy (model_score=-0.002468)
94,A remote control rests on a radiator cover.,replace,replace: remote control (model_score=-0.003503)
95,An object sits beside a sewing machine.,replace,replace: object (model_score=-0.000887)
96,A fruit rests on a picnic cooler.,replace,replace: fruit (model_score=-0.001212)
97,A ball sits on a wooden fence rail.,replace,replace: ball (model_score=-0.000712)
98,A flower rests beneath a kitchen window.,replace,replace: flower (model_score=-0.004149)
99,A hat sits next to a raincoat.,replace,replace: hat (model_score=-0.003605)
100,A cup rests on a study desk.,replace,replace: cup (model_score=-0.001066)
